COUNTY_CODE,COUNTY_NAME,DISTRICT_CODE,DISTRICT_NAME,GRADESPAN,SUPERINTENDENT,ADDRESS,CITY_STATE_ZIP,PHONE,EMAIL,WEBSITE,FACEBOOK,TWITTER
01,ATLANTIC,1690,GALLOWAY TWP,PK-08,ANNETTE GIAQUINTO,101 S REEDS ROAD,GALLOWAY NJ 08205,(609)748-1250 Ext. 1016,GIAQUINTOA@GTPS.K12.NJ.US,http://www.gtps.k12.nj.us,http://www.facebook.com/gallowayschools,http://www.twitter.com/gallowayschools
01,ATLANTIC,1790,GREATER EGG HARBOR REG,09-12,MR. KEENAN,1824 DR. DENNIS FOREMAN DR.,MAYS LANDING NJ 08330-2640,(609)625-1456,JKEENAN@GEHRHSD.NET,https://www.gehrhsd.net/,,
01,ATLANTIC,1940,HAMILTON TWP,PK-08,MR. VOGEL,1876 DR. DENNIS FOREMAN DR.,MAYS LANDING NJ 08330,(609)476-6300,VOGELF@HAMILTONSCHOOLS.ORG,http://hamiltonschools.org,,
01,ATLANTIC,1960,HAMMONTON TOWN,PK-12,MS. CHIECO,566 OLD FORKS ROAD,HAMMONTON NJ 08037,(609)567-7000 Ext. 373,RCHIECO@HAMMONTONPS.ORG,https://www.hammontonps.org,https://www.facebook.com/Hammonton-School-District,https://www.twitter.com/HammontonK12
01,ATLANTIC,2680,LINWOOD CITY,PK-08,MR. PRUITT,51 BELHAVEN AVENUE,LINWOOD NJ 08221,(609)926-6700,BRIANPRUITT@LINWOODSCHOOLS.ORG,http://www.linwoodschools.org,https://facebook.com/LinwoodPublicSchools/,https://twitter.com/LinwoodSchools
01,ATLANTIC,2910,MAINLAND REGIONAL,09-12,MR. MARRONE,1301 OAK AVENUE,LINWOOD NJ 08221,(609)927-2461,MMARRONE@MAINLANDREGIONAL.NET,http://mainlandregional.net,https://www.facebook.com/MainlandRegionalHS/,https://twitter.com/mainlandregionalhs
01,ATLANTIC,3020,MARGATE CITY,PK-08,DR. BARUFFI,8103 WINCHESTER AVENUE,MARGATE NJ 08402,(609)822-1686 Ext. 366,TBARUFFI@MARGATESCHOOLS.ORG,https://www.margateschools.org/,,
01,ATLANTIC,3480,MULLICA TWP,PK-08,MR. WEBER,500 ELWOOD ROAD,HAMMONTON NJ 08037,(609)561-3868 Ext. 120,AWEBER@MULLICASCHOOLS.COM,http://www.mullicaschools.com/,https://www.facebook.com/MullicaTownshipSchools,https://twitter.com/MullicaCoyotes
01,ATLANTIC,3720,NORTHFIELD CITY,PK-08,MR. BRETONES,2000 NEW ROAD,NORTHFIELD NJ 08225,(609)407-4004,PBRETONES@NCS-NJ.ORG,http://www.ncs-nj.org,,https://twitter.com/@ncsnj
01,ATLANTIC,4180,PLEASANTVILLE CITY,PK-12,DR. ALSTON,801 MILL ROAD,PLEASANTVILLE NJ 08232,(609)383-6800 Ext. 2506,ALSTON.CLARENCE@PPS-NJ.US,http://www.pps-nj.us/pps/,,
01,ATLANTIC,4240,PORT REPUBLIC CITY,KG-08,MR. LONDON,137 POMONA AVENUE,PORT REPUBLIC NJ 08241,(609)652-7377,BLONDON@PORTNJ.ORG,http://www.portnj.org,https://www.facebook.com/PortRepublicSchool,
01,ATLANTIC,4800,SOMERS POINT CITY,PK-08,DR. CARNEYRAY-YODER,121 W. NEW YORK AVENUE,SOMERS POINT NJ 08244-1408,(609)927-2053 Ext. 3211,MCARNEYRAY-YODER@SPTSD.ORG,https://www.sptsd.org,https://www.facebook.com/SPTSchools,
01,ATLANTIC,5350,VENTNOR CITY,PK-08,MRS. JOHNSON,400 N. LAFAYETTE AVENUE,VENTNOR CITY NJ 08406,(609)487-7900 Ext. 5100,EJOHNSON@VECCNJ.ORG,http://veccnj.org,,
01,ATLANTIC,5760,WEYMOUTH TWP,PK-08,DR. ALFIERI,1202 ELEVENTH AVENUE,DOROTHY NJ 08317,(609)476-2412,ALFIERI@WEYMOUTHTSD.ORG,https://www.weymouthtownshipschool.org,,
03,BERGEN,0040,ALLENDALE BORO,PK-08,DR. BARCADEPONE,100 BROOKSIDE AVENUE,ALLENDALE NJ 07401,(201)327-2020 Ext. 1306,MBARCADEPONE@ALLENDALEK8.COM,https://www.allendalek8.com,https://www.facebook.com/allendalek8/,https://twitter.com/Allendalek8
03,BERGEN,0080,ALPINE BORO,KG-08,MS. MCCANN,500 HILLSIDE AVE.,ALPINE NJ 07620-1038,(201)768-8255 Ext. 1111,MCCANN@ALPINESCHOOL.ORG,http://alpineschool.org,,https://twitter.com/@alpine_school
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,PK-12,DR. LERNER,540 FARVIEW AVENUE,PARAMUS NJ 07652,(201)343-6000 Ext. 4005,HOWLER@BERGEN.ORG,http://www.bergen.org,,
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,09-12,DR. LERNER,540 FARVIEW AVENUE,PARAMUS NJ 07652,(201)343-6000 Ext. 4005,HOWLER@BERGEN.ORG,http://bcts.bergen.org,,
03,BERGEN,0300,BERGENFIELD BORO,PK-12,DR. TULLY,225 W. CLINTON AVENUE,BERGENFIELD NJ 07621,(201)385-8202,CTULLY@BERGENFIELD.ORG,https://www.bergenfield.org,https://www.facebook.com/bergenfieldsd,https://www.twitter.com/bergenfieldsd
03,BERGEN,0440,BOGOTA BORO,PK-12,MR. KENNEDY,1 HENRY C. LUTHIN PLACE,BOGOTA NJ 07603,(201)441-4800 Ext. 1001,DKENNEDY@BOGOTABOE.COM, http://bogotaboe.com,, http://bogotapublic.com
03,BERGEN,0740,CARLSTADT BORO,PK-08,MR. KOLLINOK,550 WASHINGTON STREET,CARLSTADT NJ 07072,(201)672-3000 Ext. 3104,SKOLLINOK@CARLSTADTPS.ORG,HTTP://www.carlstadt.org,,
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,09-12,DR. SFORZA,120 PATERSON AVENUE,EAST RUTHERFORD NJ 07073,(201)935-3007,DSFORZA@BECTONHS.ORG,http://bectonhs.org/bhs/,,https://twitter.com/BectonHS
03,BERGEN,0890,CLIFFSIDE PARK BORO,PK-12,MR. ROMAGNINO,525 PALISADE AVENUE,CLIFFSIDE PARK NJ 07010,(201)313-2300,MJR@CLIFFSIDEPARK.EDU,http://www.cliffsidepark.edu,https://www.facebook.com/CPSchools,https://twitter.com/Cliffpkschool
03,BERGEN,0930,CLOSTER BORO,PK-08,JOANNE NEWBERRY,340 HOMANS AVENUE,CLOSTER NJ 07624-2907,(201)768-3001 Ext. 41116,NEWBERRY@NVNET.ORG,https://www.closterschools.org,,https://twitter.com/@ClosterSchools
03,BERGEN,0990,CRESSKILL BORO,PK-12,MR. BURKE,15 BROOKSIDE AVE,CRESSKILL NJ 07626,(201)227-7791 Ext. 1207,MBURKE@CBOEK12.ORG,http://www.cboek12.org/cresskill/,,https://twitter.com/CresskillBOE
03,BERGEN,1070,DEMAREST BORO,PK-08,MR. FOX,568 PIERMONT ROAD,DEMAREST NJ 07627,(201)768-6060 Ext. 53437,FOXM@NVNET.ORG,http://demarestsd.schoolwires.net,,https://twitter.com/demarestschools
03,BERGEN,1130,DUMONT BORO,PK-12,MR. TRIGGIANO,25 DEPEW STREET,DUMONT NJ 07628,(201)387-3080,ETRIGGIANO@DUMONTNJ.ORG,http://www.dumontnj.org,,
03,BERGEN,1230,EAST RUTHERFORD BORO,PK-08,MR. GIANCASPRO,100 UHLAND STREET,EAST RUTHERFORD NJ 07073,(201)804-3100 Ext. 1002,GGIANCASPRO@ERBOE.NET,http://www.erboe.net,,https://twitter.com/ErutherfordSD
03,BERGEN,1270,EDGEWATER BORO,PK-06,MRS. POSTMA,251 UNDERCLIFF AVE,EDGEWATER NJ 07020,(201)945-4106 Ext. 2200,KPOSTMA@EDGEWATERSCHOOLS.ORG,https://www.edgewaterschools.org,https://www.facebook.com/EdgewaterSchool,https://twitter.com/edgewaterschool
03,BERGEN,1345,ELMWOOD PARK,PK-12,MR. IACHETTI,60 EAST 53RD STREET,ELMWOOD PARK NJ 07407,(201)796-8700 Ext. 3979,AIACHETTI@EPPS.ORG,http://www.elmwoodparkschools.org/,https://www.facebook.com/EPPSNJ/,https://twitter.com/EPPSNJ
03,BERGEN,1360,EMERSON BORO,PK-12,DR. GATENS,133 MAIN STREET,EMERSON NJ 07630,(201)262-2828,BGATENS@EMERSONSCHOOLS.ORG,http://www.emersonschools.org,,
03,BERGEN,1370,ENGLEWOOD CITY,PK-12,MR. KRAVITZ,274 KNICKERBOCKER ROAD,ENGLEWOOD NJ 07631,(201)862-6245,RKRAVITZ@EPSD.ORG,https://www.epsd.org,https://www.facebook.com/Englewood-Public-School-District,
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,PK-08,DR. BROWER,143 CHARLOTTE PLACE,ENGLEWOOD CLIFFS NJ 07632,(201)567-7292 Ext. 222,JBROWER@ENGLEWOODCLIFFS.ORG,https://www.englewoodcliffs.org,,
03,BERGEN,1450,FAIR LAWN BORO,PK-12,MR. NORCIA,37-01 FAIR LAWN AVENUE,FAIR LAWN NJ 07410,(201)794-5500 Ext. 7003,NNORCIA@FAIRLAWNSCHOOLS.ORG,http://www.fairlawnschools.org/,https://www.facebook.com/FairLawnPublicSchoolDistrict,https://www.twitter.com/FairLawnSchools
03,BERGEN,1470,FAIRVIEW BORO,PK-08,DR. SLEPPIN,130 HAMILTON AVENUE,FAIRVIEW NJ 07022,(201)943-0564 Ext. 20,DSLEPPIN@FAIRVIEWPS.ORG,https://www.fairviewps.org,https://www.facebook.com/FairviewPublicSchools/,https://twitter.com/FairviewNJps
03,BERGEN,1550,FORT LEE BORO,PK-12,MR. ROTA,"2175 LEMOINE AVENUE, 6TH FL.",FORT LEE NJ 07024,(201)585-4612 Ext. 7501,KROTA@FLBOE.COM,http://flboe.com/,https://www.facebook.com/Fort-Lee-Public-Schools-203180137084857/,
03,BERGEN,1580,FRANKLIN LAKES BORO,PK-08,DR. STRAUSS,490 PULIS AVENUE,FRANKLIN LAKES NJ 07417,(201)891-1856 Ext. 204,GSTRAUSS@FRANKLINLAKES.K12.NJ.US,https://district.franklinlakes.k12.nj.us/,https://www.facebook.com/FrLkPS/,https://twitter.com/FranklinLakesPS
03,BERGEN,1700,GARFIELD CITY,PK-12,MRS. SCIACCA,34 OUTWATER LANE,GARFIELD NJ 07026,(973)340-5000 Ext. 2300,ASCIACCA@GBOE.ORG,http://www.gboe.org,,
03,BERGEN,1760,GLEN ROCK BORO,PK-12,MR. WATSON,620 HARRISTOWN ROAD,GLEN ROCK NJ 07452,(201)445-7700 Ext. 8950,WATSONB@GLENROCKNJ.ORG,https://www.glenrocknj.org,https://www.facebook.com/GRBOE/,
03,BERGEN,1860,HACKENSACK CITY,PK-12,MS. MARKS,191 SECOND STREET,HACKENSACK NJ 07601,(201)646-0276,RMARKS@HACKENSACKSCHOOLS.ORG,http://www.hackensackschools.org/about.cfm,,
03,BERGEN,2050,HARRINGTON PARK BORO,PK-08,DR. FRIED,191 HARRIOT AVENUE,HARRINGTON PARK NJ 07640,(201)768-5700 Ext. 38603,FRIED@HPSD.ORG,https://www.hpsd.org,https://www.facebook.com/Harrington-Park-School-District,https://twitter.com/jnitz33
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,PK-12,DR. HELFANT,379 BOULEVARD,HASBROUCK HEIGHTS NJ 07604,(201)393-8146,HELFANTM@HHSCHOOLS.ORG,https://www.hhschools.org,,https://www.twitter.com/hhspecserv
03,BERGEN,2090,HAWORTH BORO,KG-08,DR. HUGHES,205 VALLEY ROAD,HAWORTH NJ 07641,(201)384-5526 Ext. 35108,HUGHESP@NVNET.ORG,https://www.haworth.org,,
03,BERGEN,2180,HILLSDALE BORO,PK-08,MR. LOMBARDY,32 RUCKMAN ROAD,HILLSDALE NJ 07642,(201)664-4512 Ext. 4000,RLOMBARDY@HILLSDALESCHOOLS.COM,https://www.hillsdaleschools.com/,,
03,BERGEN,2200,HO HO KUS BORO,PK-08,DR. MARDY,70 LLOYD ROAD,HO-HO-KUS NJ 07423,(201)689-0175,DMARDY@HOHOKUS.ORG,http://www.hohokus.org,https://facebook.com/HohokusSchool,https://twitter.com/hhk_school
03,BERGEN,2620,LEONIA BORO,PK-12,DR. BERTOLINI,566 GRAND AVENUE,LEONIA NJ 07605,(201)302-5200 Ext. 1200,BERTOLINI@LEONIASCHOOLS.ORG,https://www.leoniaschools.org,https://www.facebook.com/Leonia-Public-Schools-869649453061127/,https://twitter.com/leoniaschools
03,BERGEN,2710,LITTLE FERRY BORO,PK-08,MR. SCARAFILE,130 LIBERTY STREET,LITTLE FERRY NJ 07643,(201)641-6192 Ext. 1602,FSCARAFILE@LITTLEFERRY.K12.NJ.US,https://www.littleferry.k12.nj.us/,https://www.facebook.com/LittleFerryPS,
03,BERGEN,2740,LODI BOROUGH,PK-12,MR. QUATRONE,8 HUNTER STREET,LODI NJ 07644,(973)778-4620,FRANK.QUATRONE@LODI.K12.NJ.US,http://http://www.lodi.k12.nj.us/,,
03,BERGEN,2860,LYNDHURST TWP,PK-12,MR. GRIECO,420 FERN AVE.,LYNDHURST NJ 07071,(201)438-5683,ANTHONYGRIECO@LYNDHURST.K12.NJ.US,http://www.lyndhurstschools.net,,https://twitter.com/lyndhurstsupt
03,BERGEN,2900,MAHWAH TWP,PK-12,DR. SCHOEN,60 RIDGE RD.,MAHWAH NJ 07430,(201)762-2404,LSCHOEN@MAHWAH.K12.NJ.US,https://www.mahwah.k12.nj.us/Page/1,,
03,BERGEN,3060,MAYWOOD BORO,PK-08,MR. JORDAN,452 MAYWOOD AVENUE,MAYWOOD NJ 07607,(201)845-9114 Ext. 111,MJORDAN@MAYWOODSCHOOLS.ORG,https://www.maywoodschools.org/ ,,http://@MAYWOODSCHOOLS
03,BERGEN,3170,MIDLAND PARK BORO,PK-12,DR. CIRASELLA,250 PROSPECT STREET,MIDLAND PARK NJ 07432-1398,(201)444-1400 Ext. 101,MCIRASELLA@MPSNJ.ORG,https://www.mpsnj.org,,
03,BERGEN,3330,MONTVALE BORO,PK-08,DR. PETERSEN,47 SPRING VALLEY ROAD,MONTVALE NJ 07645,(201)391-1662,DPETERSEN@MONTVALEK8.ORG,https://www.montvalek8.org/,,https://twitter.com/montvaleschools
03,BERGEN,3350,MOONACHIE BORO,PK-08,DR. PONDS,20 WEST PARK STREET,MOONACHIE NJ 07074,(201)641-5833 Ext. 101,JPONDS@MOONACHIESCHOOL.ORG,https://www.moonachieschool.org/,,
03,BERGEN,3550,NEW MILFORD BORO,PK-12,MR. POLIZZI,145 MADISON AVENUE,NEW MILFORD NJ 07646,(201)261-2952 Ext. 1125,MPOLIZZI@NEWMILFORDSCHOOLS.ORG,https://www.newmilfordschools.org,,https://twitter.com/@NMSchools_NJ
03,BERGEN,3600,NORTH ARLINGTON BORO,PK-12,DR. YURCHAK,222 RIDGE ROAD,NORTH ARLINGTON NJ 07031,(201)991-6800 Ext. 3055,SYURCHAK@NAVIKINGS.ORG,http://www.navikings.org/,,
03,BERGEN,3700,NORTHERN HIGHLANDS REG,09-12,DR. BECKERMAN,298 HILLSIDE AVENUE,ALLENDALE NJ 07401-1447,(201)327-8700 Ext. 503,BECKERMANS@NORTHERNHIGHLANDS.ORG,https://www.northernhighlands.org,https://www.facebook.com/nhighlands,https://twitter.com/nhrhs1
03,BERGEN,3710,NORTHERN VALLEY REGIONAL,PK-12,JAMES SANTANA,162 KNICKERBOCKER ROAD,DEMAREST NJ 07627,(201)768-2200 Ext. 12160,SANTANA@NVNET.ORG,https://www.nvnet.org/,https://www.facebook.com/northernvalleyregional/,https://twitter.com/nvrhs_nj
03,BERGEN,3730,NORTHVALE BORO,KG-08,MR. PINAJIAN,441 TAPPAN ROAD,NORTHVALE NJ 07647,(201)768-8484 Ext. 30234,PINAJIAN@NVNET.ORG,http://www.northvaleschool.org,,
03,BERGEN,3740,NORWOOD BORO,KG-08,MS. GROSS,177 SUMMIT STREET,NORWOOD NJ 07648,(201)768-6363 Ext. 60003,GROSSL@NVNET.ORG,https://www.wearenorwood.org,https://www.facebook.com/norwoodpublicschooldistrict,https://twitter.com/NPSEagles
03,BERGEN,3760,OAKLAND BORO,PK-08,DR. COFFARO,315 RAMAPO VALLEY ROAD,OAKLAND NJ 07436,(201)337-6156 Ext. 4016,COFFARO@OAKLANDSCHOOLSNJ.ORG,https://www.oaklandschoolsnj.org,,
03,BERGEN,3850,OLD TAPPAN BORO,KG-08,DR. DA GIAU,277 OLD TAPPAN RD.,OLD TAPPAN NJ 07675,(201)664-1421 Ext. 2501,DAGIAU@NVNET.ORG,https://www.oldtappanschools.org,https://www.facebook.com/OldTappanSchoolDistrict,https://twitter.com/oldtappansd
03,BERGEN,3870,ORADELL BORO,PK-06,DR. ANZUL,350 PROSPECT AVENUE,ORADELL NJ 07649,(201)261-1180 Ext. 3004,ANZULJ@ORADELLSCHOOL.ORG,http://oradellschool.org,,
03,BERGEN,3910,PALISADES PARK,PK-12,DR. CIRILLO,410 SECOND ST,PALISADES PARK NJ 07650,(201)947-3550,JCIRILLO@PALPKSCHOOLS.ORG,http://www.palpkschools.org,,
03,BERGEN,3930,PARAMUS BORO,PK-12,DR. ROBINSON,145 SPRING VALLEY ROAD,PARAMUS NJ 07652,(201)261-7800 Ext. 3000,MROBINSON@PARAMUS.K12.NJ.US,http://www.paramus.k12.nj.us,https://www.facebook.com/ParamusPublicSchools/,https://twitter.com/Paramus_Schools
03,BERGEN,3940,PARK RIDGE BORO,PK-12,DR. GAMPER,85 PASCACK ROAD,PARK RIDGE NJ 07656,(201)573-6000,ROBERTGAMPER@PARKRIDGE.K12.NJ.US,https://www.parkridgeschools.org/,,
03,BERGEN,3960,PASCACK VALLEY REGIONAL,04-12,MR. GUNDERSEN,28 WEST GRAND AVENUE,MONTVALE NJ 07645,(201)358-7004 Ext. 21005,EGUNDERSEN@PASCACK.ORG,https://www.pascack.org/,,https://twitter.com/pvrhsd
03,BERGEN,4300,RAMAPO-INDIAN HILL REG,09-12,MS. MACKAY,131 YAWPO AVENUE,OAKLAND NJ 07436,(201)416-8100,BMACKAY@RIH.ORG,http://www.rih.org,,https://twitter.com/beverly_mackay
03,BERGEN,4310,RAMSEY BORO,PK-12,DR. MURPHY,266 EAST MAIN ST.,RAMSEY NJ 07446-1927,(201)785-2300 Ext. 20416,MMURPHY@RAMSEY.K12.NJ.US,https://www.ramsey.k12.nj.us,https://facebook.com/RamseyNJschools,https://twitter.com/drmatthewmurphy
03,BERGEN,4370,RIDGEFIELD BORO,PK-12,MR. PETRELLI,555 CHESTNUT STREET,RIDGEFIELD NJ 07657,(201)945-7747,JPETRELLI@RIDGEFIELDSCHOOLS.COM,https://nj01912890.schoolwires.net/,,
03,BERGEN,4380,RIDGEFIELD PARK TWP,PK-12,DR. HAYES,712 LINCOLN AVE,RIDGEFIELD PARK NJ 07660,(201)641-0800,MHAYES@RPSCHOOLS.NET,http://rpps.net,,
03,BERGEN,4390,RIDGEWOOD VILLAGE,PK-12,DR. FISHBEIN,49 COTTAGE PLACE,RIDGEWOOD NJ 07450,(201)670-2700 Ext. 10501,DFISHBEIN@RIDGEWOOD.K12.NJ.US,https://www.ridgewood.k12.nj.us/,https://www.facebook.com/RidgewoodPublicSchools,https://twitter.com/RwdPubSchools
03,BERGEN,4405,RIVER DELL REGIONAL,07-12,MR. FLETCHER,230 WOODLAND AVENUE,RIVER EDGE NJ 07661-1504,(201)599-7206,PATRICK.FLETCHER@RIVERDELL.ORG,https://www.riverdell.org,,
03,BERGEN,4410,RIVER EDGE BORO,PK-06,DR. BEN-DOV,410 BOGERT ROAD,RIVER EDGE NJ 07661,(201)261-3404 Ext. 310,BENDOVT@RIVEREDGESCHOOLS.ORG,http://riveredgeschools.org/index.html,https://www.facebook.com/River-Edge-Public-Schools-717464654974710/,
03,BERGEN,4430,RIVER VALE TWP,PK-08,MR. MCCOURT,609 WESTWOOD AVENUE,RIVER VALE NJ 07675,(201)358-4020,RMCCOURT@RIVERVALESCHOOLS.COM,http://www.rivervaleschools.com/,https://www.facebook.com/rivervaleschools/,https://twitter.com/rvsupt
03,BERGEN,4470,ROCHELLE PARK TWP,PK-08,DR. BROCKEL,300 ROCHELLE AVE,ROCHELLE PARK NJ 07662,(201)843-3120,RBROCKEL@ROCHELLEPARK.ORG,http://www.rp.bergen.org,https://www.facebook.com/groups/1555073704737340/,https://twitter.com/MidlandSchool1
03,BERGEN,4600,RUTHERFORD BORO,PK-12,MR. HURLEY,176 PARK AVENUE,RUTHERFORD NJ 07070-2310,(201)438-7675 Ext. 1101,JHURLEY@RUTHERFORDSCHOOLS.ORG,https://www.rutherfordschools.org,https://www.facebook.com/rutherfordpublicschools/,https://twitter.com/rutherfordps
03,BERGEN,4610,SADDLE BROOK TWP,PK-12,MRS. SHANLEY,355 MAYHILL STREET,SADDLE BROOK NJ 07663,(201)843-1142 Ext. 2305,DSHANLEY@SADDLEBROOKSCHOOLS.ORG,https://www.sbpsnj.org/,,
03,BERGEN,4620,SADDLE RIVER BORO,PK-05,DR. CINOTTI,97 E. ALLENDALE ROAD,SADDLE RIVER NJ 07458,(201)327-0727 Ext. 207,GCINOTTI@WANDELLSCHOOL.ORG,https://www.wandellschool.org/,https://www.facebook.com/pages/category/Education/Wandell-School-731616787188581/,https://twitter.com/Wandell_School
03,BERGEN,4845,SOUTH BERGEN JOINTURE COM,PK-12,DR. KUCHAR,500 ROUTE 17 SOUTH,HASBROUCK HEIGHTS NJ 07604,(201)393-0475 Ext. 236,MKUCHAR@NJSBJC.ORG,https://www.njsbjc.org,,https://twitter.com/wearethesbjc
03,BERGEN,4870,SOUTH HACKENSACK TWP,PK-08,MR. MACERI,1 DYER AVENUE,SOUTH HACKENSACK NJ 07606-1537,(201)440-2782 Ext. 140,GMACERI@SHMEMORIAL.ORG,https://www.shmemorial.org,,https://twitter.com/@sohackms
03,BERGEN,5150,TEANECK TWP,PK-12,DR. IRVING,1 MERRISON ST.,TEANECK NJ 07666,(201)833-5510,CIRVING@TEANECKSCHOOLS.ORG,http://www.teaneckschools.org,https://www.facebook.com/TeaneckPublicSchoolDistrict/,
03,BERGEN,5160,TENAFLY BORO,PK-12,MS. DEMARCO,500 TENAFLY ROAD,TENAFLY NJ 07670-1796,(201)816-4501,SDEMARCO@TENAFLY.K12.NJ.US,https://www.tenaflyschools.org/,,
03,BERGEN,5330,UPPER SADDLE RIVER BORO,PK-08,DR. SIEGEL,395 WEST SADDLE RIVER ROAD,UPPER SADDLE RIVER NJ 07458,(201)961-6500,BSIEGEL@USRSCHOOLSK8.COM,https://www.usrschoolsk8.com,https://www.facebook.com/usrschools,
03,BERGEN,5410,WALDWICK BORO,PK-12,DR. CASARICO,155 SUMMIT AVENUE,WALDWICK NJ 07463,(201)445-3131 Ext. 4114,CASARICOP@WALDWICKSCHOOLS.ORG,https://www.waldwickschools.org/,,
03,BERGEN,5430,WALLINGTON BORO,KG-12,MR. ALBRO,32 PINE STREET,WALLINGTON NJ 07057,(973)777-4421 Ext. 315,ALBRO@WBOE.ORG,http://www.wboe.org,http://www.facebook.com/wallingtonps,
03,BERGEN,5755,WESTWOOD REGIONAL,PK-12,DR. GONZALEZ,701 RIDGEWOOD ROAD,TOWNSHIP OF WASHINGTON NJ 07676,(201)664-0880 Ext. 2001,RAY.GONZALEZ@WWRSD.ORG,https://www.wwrsd.org,https://www.facebook.com/wwrsd/,https://twitter.com/wwrsd
03,BERGEN,5830,WOOD-RIDGE BORO,PK-12,MR. CIPRIANO,540 WINDSOR ROAD,WOOD-RIDGE NJ 07075,(201)933-6777 Ext. 5637,NCIPRIANO@WOOD-RIDGESCHOOLS.ORG,http://www.wood-ridgeschools.org,https://www.facebook.com/WoodRidgeSchoolDistrict,
03,BERGEN,5880,WOODCLIFF LAKE BORO,PK-08,LAUREN BARBELET,134 WOODCLIFF AVENUE,WOODCLIFF LAKE NJ 07677-8245,(201)930-5600 Ext. 250,LBARBELET@WOODCLIFF-LAKE.COM,https://www.woodcliff-lake.com/,https://www.facebook.com/WoodcliffLakeSchools/,
03,BERGEN,5920,WYCKOFF TWP,PK-08,DR. FEIFER,241 MORSE AVENUE,WYCKOFF NJ 07481,(201)848-5700 Ext. 6555,JFEIFER@WYCKOFFSCHOOLS.ORG,https://www.wyckoffps.org/Domain/1,,
05,BURLINGTON,0200,BASS RIVER TWP,PK-06,MRS. GRAYSON,11 NORTH MAPLE AVE,NEW GRETNA NJ 08224,(609)296-4230,SGRAYSON@BRSDNJ.ORG,http://www.bassriverschooldistrict.org,http://www.facebook.com/BassRiverSchool,
